target_name,transaction_id,"Announced Date
MM/dd/yyyy",transaction_type,transaction_status,transaction_value_usd_m,buyer_name,seller_name,gics_industry,pct_equity_acquired,"Implied Enterprise Value/ Total Revenue
(x)",target_ebitda_usd_m,"Total Transaction Value
($M).1",change_in_control,ev_ebitda_multiple,target_company_type,geography,buyer_company_type,"Company Type
(Seller)",sector_tag
Administradora de Fondos de Pensiones Provida S.A.,SPTRD169308,2013-02-01 00:00:00,M&A - Whole,Completed,1850.0,"MetLife, Inc. (NYSE:MET)","Banco Bilbao Vizcaya Argentaria, S.A. (BME:BBVA)",Asset Management and Custody Banks,100.0,,407.463,1850,Yes,7.59,Administradora de Fondos de Pensiones Provida S.A. (Public Company),Latin America and Caribbean,"MetLife, Inc. (Public Company)","Banco Bilbao Vizcaya Argentaria, S.A. (Public Company)",financials
AG Insurance SA/NV,SPTRD2182576,2025-12-08 00:00:00,M&A - Minority,Completed,2229.0004698,ageas SA/NV (ENXTBR:AGS),BNP Paribas Fortis SA (ENXTBR:017250539),Property and Casualty Insurance,25.0,,1394.94990537899,2229.0004698,No,5.89,,Europe,ageas SA/NV (Public Company),BNP Paribas Fortis SA (Public Company),financials
Alleghany Corporation,SPTRD1949133,2022-03-21 00:00:00,M&A - Whole,Completed,11569.357928,Berkshire Hathaway Inc. (NYSE:BRK.A),Alleghany Corporation (:Y),Reinsurance,100.0,,940.272,11569.357928,Yes,6.83,,United States and Canada,Berkshire Hathaway Inc. (Public Company),,financials
American Equity Investment Life Holding Company,SPTRD2032225,2023-06-27 00:00:00,M&A - Whole,Completed,3768.184822,Brookfield Wealth Solutions Ltd. (NYSE:BNT),American National Group Inc. (:AEL),Life and Health Insurance,79.6,,985.634,3768.184822,Yes,6.1,,United States and Canada,Brookfield Wealth Solutions Ltd. (Public Company),,financials
"American Safety Insurance Holdings, Ltd.",SPTRD187245,2013-06-03 00:00:00,M&A - Whole,Completed,317.023337,Fairfax Financial Holdings Limited (TSX:FFH),"American Safety Insurance Holdings, Ltd. (:ASI)",Property and Casualty Insurance,100.0,,58.905,317.023337,Yes,5.38,,United States and Canada,Fairfax Financial Holdings Limited (Public Company),,financials
"Apollo Residential Mortgage, Inc.",SPTRD210206,2016-02-26 00:00:00,M&A - Whole,Completed,435.331471,"Apollo Commercial Real Estate Finance, Inc. (NYSE:ARI)","Apollo Residential Mortgage, Inc. (:AMTG)",Diversified Financial Services,100.0,,18.292,435.331471,Yes,21.86,,United States and Canada,"Apollo Commercial Real Estate Finance, Inc. (Public Company)",,financials
Aspen Insurance Holdings Limited,SPTRD2166187,2025-08-27 00:00:00,M&A - Whole,Completed,3472.844475,Endurance Specialty Insurance Ltd.,"Aspen Insurance Holdings Limited (:AHL); Apollo Global Management, Inc. (NYSE:APO)",Property and Casualty Insurance,100.0,,501.2,3472.844475,Yes,8.29,,United States and Canada,,"Apollo Global Management, Inc. (Public Company)",financials
Asset Acceptance Capital Corp.,SPTRD169806,2013-03-06 00:00:00,M&A - Whole,Completed,389.47,"Encore Capital Group, Inc. (NASDAQGS:ECPG)",Asset Acceptance Capital Corp. (:AACC),Consumer Finance,100.0,,32.027,389.47,Yes,9.97,,United States and Canada,"Encore Capital Group, Inc. (Public Company)",,financials
"AssetMark Financial Holdings, Inc.",SPTRD2078542,2024-04-25 00:00:00,M&A - Whole,Completed,2749.682383,GTCR LLC,"Huatai Securities Co., Ltd. (SHSE:601688)",Asset Management and Custody Banks,100.0,,226.357,2749.682383,Yes,12.17,,United States and Canada,,"Huatai Securities Co., Ltd. (Public Company)",financials
AUB Group Limited,SPTRD2175881,2025-10-28 00:00:00,M&A - Whole,Terminated/Withdrawn,3455.1474056089,Arbutus Pte. Limited,AUB Group Limited (ASX:AUB),Insurance Brokers,100.0,,,3455.1474056089,Yes,11.83,AUB Group Limited (Public Company),Asia-Pacific,,AUB Group Limited (Public Company),financials
Baloise Holding AG,SPTRD2144327,2025-04-22 00:00:00,M&A - Whole,Completed,11566.0455084039,Helvetia Baloise Holding AG (SWX:HBAN),Baloise Holding AG (SWX:BALN),Multi-line Insurance,100.0,,,11566.0455084039,Yes,13.46,,Europe,Helvetia Baloise Holding AG (Public Company),,financials
Banca Generali S.p.A.,SPTRD2144842,2025-04-28 00:00:00,M&A - Whole,Terminated/Withdrawn,7034.9894727488,Mediobanca Banca di Credito Finanziario S.p.A. (BIT:MB),Banca Generali S.p.A. (BIT:BGN),Asset Management and Custody Banks,100.0,,,7034.9894727488,Yes,7.96,Banca Generali S.p.A. (Public Company),Europe,Mediobanca Banca di Credito Finanziario S.p.A. (Public Company),Banca Generali S.p.A. (Public Company),financials
Broadmark Realty Capital Inc.,SPTRD2012536,2023-02-27 00:00:00,M&A - Whole,Completed,709.223934,Ready Capital Corporation (NYSE:RC),Broadmark Realty Capital Inc. (:BRMK),Mortgage REITs,100.0,9.08483113494074,-119.16,709.223934,Yes,11.85,,United States and Canada,Ready Capital Corporation (Public Company),,financials
"Caliber Home Loans, Inc.",SPTRD1873974,2021-04-14 00:00:00,M&A - Whole,Completed,1314.7,Rithm Capital Corp. (NYSE:RITM),"Lone Star Global Acquisitions, Ltd.; Caliber Home Loans, Inc. (:HOMS)",Commercial and Residential Mortgage Finance,100.0,,867.255,1314.7,Yes,2.36,,United States and Canada,Rithm Capital Corp. (Public Company),,financials
Capital Nomura Securities Public Company Limited,SPTRD1969824,2022-06-30 00:00:00,M&A - Whole,Completed,159.657525364,Bank of Ayudhya Public Company Limited (SET:BAY),"Nomura Holdings, Inc. (TSE:8604)",Investment Banking and Brokerage,99.1,,22.2359523206005,159.657525364,Yes,7.81,,Asia-Pacific,Bank of Ayudhya Public Company Limited (Public Company),"Nomura Holdings, Inc. (Public Company)",financials
Capstead Mortgage Corporation,SPTRD1895807,2021-07-26 00:00:00,M&A - Whole,Completed,812.051935,"Franklin BSP Realty Trust, Inc. (NYSE:FBRT)",Capstead Mortgage Corporation (:CMO),Mortgage REITs,100.0,8.17192073140051,111.183,812.051935,Yes,7.3,,United States and Canada,"Franklin BSP Realty Trust, Inc. (Public Company)",,financials
Cardtronics plc,SPTRD1790636,2020-12-09 00:00:00,M&A - Whole,Terminated/Withdrawn,2331.235995,"Apollo Global Management, Inc. (NYSE:APO); Hudson Executive Capital LP",Cardtronics Limited (:CATM),Transaction and Payment Processing Services,100.0,2.01315890169163,,2331.235995,Yes,9.91,,United States and Canada,"Apollo Global Management, Inc. (Public Company)",,financials
Cardtronics plc,SPTRD1796356,2021-01-11 00:00:00,M&A - Whole,Completed,2525.13975,NCR Voyix Corporation (NYSE:VYX),Cardtronics Limited (:CATM),Transaction and Payment Processing Services,100.0,2.22865283130642,240.387,2525.13975,Yes,10.97,,United States and Canada,NCR Voyix Corporation (Public Company),,financials
"Cash America International, Inc.",SPTRD211902,2016-04-28 00:00:00,M&A - Whole,Completed,1094.577443,"Frontier Merger Sub, LLC","Cash America International, Inc. (:CSH)",Consumer Finance,100.0,,114.442,1094.577443,Yes,8.87,"Cash America International, Inc. (Public Company)",United States and Canada,,"Cash America International, Inc. (Public Company)",financials
Charles Stanley Group PLC,SPTRD1899014,2021-07-29 00:00:00,M&A - Whole,Completed,364.528881913607,"Raymond James Financial, Inc. (NYSE:RJF)",Raymond James Wealth Management Group Limited (:CAY),Investment Banking and Brokerage,100.0,,26.9803888459341,364.528881913607,Yes,13.04,,Europe,"Raymond James Financial, Inc. (Public Company)",,financials
Charter Court Financial Services Group Plc,SPTRD1554858,2019-03-11 00:00:00,M&A - Whole,Completed,854.706734929488,OSB Group Plc (LSE:OSB),CCFSG Holdings Limited (:CCFS),Commercial and Residential Mortgage Finance,100.0,,335.315145784576,854.706734929488,Yes,3.09,,Europe,OSB Group Plc (Public Company),,financials
China Investment Securities Company Ltd.,SPTRD1531075,2016-11-04 00:00:00,M&A - Whole,Completed,2522.99226421033,China International Capital Corporation Limited (SEHK:3908),Central Huijin Investment Ltd.,Investment Banking and Brokerage,100.0,,508.88865822212,2522.99226421033,Yes,2.31,,Asia-Pacific,China International Capital Corporation Limited (Public Company),,financials
"Colony Capital, Inc.",SPTRD213091,2016-06-03 00:00:00,M&A - Whole,Completed,2617.930333,"DigitalBridge Group, Inc. (NYSE:DBRG)","Colony Capital, Inc.",Asset Management and Custody Banks,100.0,,637.273,2617.930333,Yes,3.24,,United States and Canada,"DigitalBridge Group, Inc. (Public Company)",,financials
"Consumer Portfolio Services, Inc.",SPTRD1772091,2020-10-08 00:00:00,M&A - Whole,Terminated/Withdrawn,168.169364,"Auto Experience, Inc.","Consumer Portfolio Services, Inc. (NASDAQGM:CPSS); Black Diamond Capital Management, L.L.C.",Consumer Finance,100.0,,,168.169364,Yes,1.38,"Consumer Portfolio Services, Inc. (Public Company)",United States and Canada,,"Consumer Portfolio Services, Inc. (Public Company)",financials
