target_name,transaction_id,"Announced Date
MM/dd/yyyy",transaction_type,transaction_status,transaction_value_usd_m,buyer_name,seller_name,gics_industry,pct_equity_acquired,"Implied Enterprise Value/ Total Revenue
(x)",target_ebitda_usd_m,"Total Transaction Value
($M).1",change_in_control,ev_ebitda_multiple,target_company_type,geography,buyer_company_type,"Company Type
(Seller)",sector_tag
8point3 Energy Partners LP,SPTRD1363496,2018-02-05 00:00:00,M&A - Whole,Completed,2236.574446,"Capital Dynamics, Inc.","SunPower Corporation (:SPWR.Q); First Solar, Inc. (NASDAQGS:FSLR)",Renewable Electricity,100.0,31.9793450755468,97.235,2236.574446,Yes,22.91,,United States and Canada,,"First Solar, Inc. (Public Company)",utilities
AGL Resources Inc.,SPTRD204996,2015-08-24 00:00:00,M&A - Whole,Completed,12370.926837,The Southern Company (NYSE:SO),Southern Company Gas (:GAS),Gas Utilities,100.0,2.71843008286295,1018.0,12370.926837,Yes,9.73,,United States and Canada,The Southern Company (Public Company),,utilities
Alabama Gas Corporation,SPTRD193590,2014-04-07 00:00:00,M&A - Whole,Completed,1588.023,Spire Inc. (NYSE:SR),Energen Corporation (:EGN),Gas Utilities,100.0,,146.077,1588.023,Yes,10.76,,United States and Canada,Spire Inc. (Public Company),,utilities
"Allegheny Energy, Inc.",SPTRD150812,2010-02-11 00:00:00,M&A - Whole,Completed,8327.208,FirstEnergy Corp. (NYSE:FE),"Allegheny Energy, Inc. (:AYE)",Independent Power Producers and Energy Traders,100.0,,1250.4,8327.208,Yes,7.18,,United States and Canada,FirstEnergy Corp. (Public Company),,utilities
"AltaLink, L.P.",SPTRD194104,2014-05-01 00:00:00,M&A - Whole,Completed,5682.38845832727,Berkshire Hathaway Energy Company (:MEC),AtkinsRéalis Group Inc. (TSX:ATRL),Electric Utilities,100.0,10.6289658479296,463.792910309535,5682.38845832727,Yes,14.4,,United States and Canada,,AtkinsRéalis Group Inc. (Public Company),utilities
"AmeriGas Partners, L.P.",SPTRD1559603,2019-04-02 00:00:00,M&A - Whole,Completed,5074.758038,UGI Corporation (NYSE:UGI),"AmeriGas Partners, L.P. (:APU)",Gas Utilities,74.52762,2.19485916989245,537.141,5074.758038,Yes,15.03,,United States and Canada,UGI Corporation (Public Company),,utilities
Avista Corporation,SPTRD453479,2017-07-19 00:00:00,M&A - Whole,Terminated/Withdrawn,5301.010302,Hydro One Limited (TSX:H),Avista Corporation (NYSE:AVA),Multi-Utilities,100.0,3.63969637122771,,5301.010302,Yes,11.19,Avista Corporation (Public Company),United States and Canada,Hydro One Limited (Public Company),Avista Corporation (Public Company),utilities
"CH Energy Group, Inc.",SPTRD162298,2012-02-21 00:00:00,M&A - Whole,Completed,1526.471,Fortis Inc. (TSX:FTS),"CH Energy Group, Inc. (:CHG)",Independent Power Producers and Energy Traders,100.0,,146.002,1526.471,Yes,10.19,,United States and Canada,Fortis Inc. (Public Company),,utilities
DPL Inc.,SPTRD157617,2011-04-20 00:00:00,M&A - Whole,Completed,4562.235981,The AES Corporation (NYSE:AES),DPL LLC (:DPL),Independent Power Producers and Energy Traders,100.0,,528.6,4562.235981,Yes,7.57,,United States and Canada,The AES Corporation (Public Company),,utilities
Dynegy Inc.,SPTRD967713,2017-10-30 00:00:00,M&A - Whole,Completed,10388.210279,Vistra Corp. (NYSE:VST),Dynegy Inc. (:DYN),Independent Power Producers and Energy Traders,100.0,2.22532557921292,352.0,10388.210279,Yes,10.28,,United States and Canada,Vistra Corp. (Public Company),,utilities
Energy Harbor Corp.,SPTRD2013858,2023-03-06 00:00:00,M&A - Whole,Completed,5026.0,Vistra Corp. (NYSE:VST); Vistra Operations Company LLC,"Nuveen Asset Management LLC; Avenue Capital Group, LLC",Electric Utilities,100.0,1.64639037433155,,5026,Yes,21.99,,United States and Canada,Vistra Corp. (Public Company),,utilities
"EnergySouth, Inc.",SPTRD211818,2016-04-26 00:00:00,M&A - Whole,Completed,344.0,Spire Inc. (NYSE:SR),Sempra (NYSE:SRE),Gas Utilities,100.0,,30.5,344,Yes,11.28,,United States and Canada,Spire Inc. (Public Company),Sempra (Public Company),utilities
"FirstEnergy Transmission, LLC",SPTRD2008511,2023-02-02 00:00:00,M&A - Minority,Completed,3500.0,Brookfield Corporation (TSX:BN); Brookfield Super-Core Infrastructure Partners L.P.,FirstEnergy Corp. (NYSE:FE),Electric Utilities,30.0,12.3768964024707,1090.0,3500,No,11.95,,United States and Canada,Brookfield Corporation (Public Company),FirstEnergy Corp. (Public Company),utilities
Gas Natural Inc.,SPTRD216807,2016-10-10 00:00:00,M&A - Whole,Completed,191.953262,"BlackRock, Inc. (NYSE:BLK)",Hearthstone Utilities Inc. (:EGAS),Gas Utilities,100.0,2.0178552646319,13.197,191.953262,Yes,19.47,,United States and Canada,"BlackRock, Inc. (Public Company)",,utilities
"GenOn Energy, Inc.",SPTRD165521,2012-07-22 00:00:00,M&A - Whole,Completed,4202.612,"NRG Energy, Inc. (NYSE:NRG)","GenOn Holdings, Inc. (:GEN)",Independent Power Producers and Energy Traders,100.0,,480.0,4202.612,Yes,5.67,,United States and Canada,"NRG Energy, Inc. (Public Company)",,utilities
Gulf Power Company,SPTRD1439386,2018-05-21 00:00:00,M&A - Whole,Completed,5648.0,"NextEra Energy, Inc. (NYSE:NEE)",The Southern Company (NYSE:SO),Electric Utilities,100.0,3.73645970937913,423.0,5648,Yes,11.81,,United States and Canada,"NextEra Energy, Inc. (Public Company)",The Southern Company (Public Company),utilities
